WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
DEBUG__main__:HYPERPARAMS
n_neurons_hl1 = 32
n_neurons_hl2 = 32
discount = 0.99
learning_rate = 1e-05
DEBUG__main__:EP	reward	info
DEBUG__main__:82	-75.0	Max steps 100 reached per episodes.
DEBUG__main__:83	-78.0	Max steps 100 reached per episodes.
DEBUG__main__:84	-71.5	Max steps 100 reached per episodes.
DEBUG__main__:85	-72.5	Max steps 100 reached per episodes.
DEBUG__main__:86	-76.0	Max steps 100 reached per episodes.
DEBUG__main__:87	-76.0	Max steps 100 reached per episodes.
DEBUG__main__:88	-76.0	Max steps 100 reached per episodes.
DEBUG__main__:89	-72.5	Max steps 100 reached per episodes.
DEBUG__main__:90	-76.5	Max steps 100 reached per episodes.
DEBUG__main__:91	-75.0	Max steps 100 reached per episodes.
DEBUG__main__:92	-77.0	Max steps 100 reached per episodes.
DEBUG__main__:93	-76.0	Max steps 100 reached per episodes.
DEBUG__main__:94	-79.5	Max steps 100 reached per episodes.
DEBUG__main__:95	-78.5	Max steps 100 reached per episodes.
DEBUG__main__:96	-80.0	Max steps 100 reached per episodes.
DEBUG__main__:97	-76.5	Max steps 100 reached per episodes.
DEBUG__main__:98	-76.5	Max steps 100 reached per episodes.
DEBUG__main__:99	-82.0	Max steps 100 reached per episodes.
DEBUG__main__:100	-74.5	Max steps 100 reached per episodes.
DEBUG__main__:101	-77.5	Max steps 100 reached per episodes.
DEBUG__main__:102	-75.0	Max steps 100 reached per episodes.
